descricao,ano_criacao,periodo_criacao,componentes,ch_matriz
Técnico em Informática Integrado - Guarabira,2013,1,"Algoritmos e Lógica de Programação, Artes, Educação Física I, Filosofia I, Fundamentos de Informática, Geografia I, História I, Língua Estrangeira Moderna -  Inglês I, Língua Portuguesa e Literatura Brasileira I, Matemática I, Química I, Sociologia I, Algoritmos e Estruturas de Dados, Arquitetura de Computadores, Biologia I, Educação Física II, Filosofia II, Física I, Geografia II, História II, Introdução ao Banco de Dados, Língua Estrangeira Moderna - Inglês II, Língua Portuguesa e Literatura Brasileira II, Matemática II, Química II, Sociologia II, Banco de Dados, Biologia II, Educação Física III, Filosofia III, Física II, Geografia III, História III, Língua Portuguesa e Literatura Brasileira III, Matemática III, Metodologia da Pesquisa Científica, Programação Orientada a Objetos, Química III, Sistemas Operacionais, Sociologia III, Análise e Projeto de Sistema, Biologia III, Desenvolvimento de Aplicações Web, Empreendedorismo, Filosofia IV, Física III, Língua Portuguesa e Literatura Brasileira IV, Redes de Computadores, Sociologia IV, Tópicos Especiais em Informática, Língua Espanhola",3641
Técnico em Edificações Integrado - Guarabira,2013,2,"Artes, Biologia I, Desenho Técnico, Educação Física I, Filosofia I, Física I, História I, Informática Básica, Língua Portuguesa e Literatura Brasileira I, Matemática I, Metodologia da Pesquisa Científica, Química I, Sociologia I, Biologia II, Desenho Arquitetônico, Educação Física II, Estabilidade das Construções, Filosofia II, Física II, Geografia I, História II, Língua Estrangeira Moderna -  Inglês I, Língua Portuguesa e Literatura Brasileira II, Matemática II, Materiais de Construção, Química II, Sociologia II, Topografia, Biologia III, Desenho de Estruturas, Educação Física III, Filosofia III, Física III, Geografia II, História III, Introdução ao Projeto Arquitetônico, Língua Estrangeira Moderna - Inglês II, Língua Portuguesa e Literatura Brasileira III, Matemática III, Mecânica dos Solos, Química III, Sociologia III, Tecnologia das Construções I, Empreendedorismo, Filosofia IV, Higiene e Segurança do Trabalho, Impactos Ambientais e Construções Sustentáveis, Instalações Elétricas Prediais, Instalações Hidrossanitárias, Orçamento de Obras, Projeto Arquitetônico, Sociologia IV, Tecnologia da Qualidade, Tecnologia das Construções II, Língua Espanhola",3939
Tecnologia em Gestão Comercial - Guarabira,2012,1,"Comportamento do Consumidor, Economia e Mercado, Fundamentos da Administração, Informática Básica, Introdução ao Direito Público e Privado, Língua Portuguesa, Matemática Financeira, Responsabilidade Sócio-Ambiental, Contabilidade Geral, Estratégia Organizacional, Fundamentos de Metodologia, Legislação Comercial e Tributária, Língua Inglesa para Fins Específicos, Organização, Sistemas e Métodos, Pesquisa de Mercado, Administração de Marketing, Contabilidade Gerencial, Fundamentos de Gestão de Pessoas, Gestão de Operações em Atacado e Varejo, Gestão de Suprimentos e Logística, Legislação Social, Métodos e Técnicas de Pesquisa, Publicidade  e Propaganda, Administração de Pessoas, Administração de Vendas, Administração Financeira e Orçamentária, Automação Comercial, Comércio Eletrônico, Empreendedorismo, Merchandising e Layout no Ponto de Venda, Trabalho de Conclusão de Curso - TCC, Língua Brasileira de Sinais–LIBRAS",1735
Técnico em Contabilidade Integrado - Guarabira,2013,1,"Artes, Contabilidade Básica, Economia e Mercado, Educação Física I, Filosofia I, Fundamentos da Administração, Geografia I, História I, Informática Básica, Língua Portuguesa e Literatura Brasileira I, Matemática I, Noções de Direito Público e Privado, Química I, Sistemas e Métodos Organizacionais, Sociologia I, Biologia I, Contabilidade de Custos, Contabilidade Tributária, Educação Física II, Filosofia II, Física I, Geografia II, História II, Língua Estrangeira Moderna -  Inglês I, Língua Portuguesa e Literatura Brasileira II, Matemática Financeira, Matemática II, Psicologia do Trabalho, Química II, Sociologia II, Biologia II, Contabilidade Comercial, Educação Física III, Filosofia III, Física II, Geografia III, História III, Legislação Social, Língua Estrangeira Moderna - Inglês II, Língua Portuguesa e Literatura Brasileira III, Matemática III, Metodologia da Pesquisa Científica, Prática Contábil I, Química III, Sociologia III, Análise de Demonstrações Contábeis, Biologia III, Contabilidade Bancária, Contabilidade Pública, Filosofia IV, Física III, Formação de Empreendedores, Língua Portuguesa e Literatura Brasileira IV, Matemática IV, Prática Contábil II, Sociologia IV, Língua Espanhola",3535
Técnico em Edificações Integrado - Catolé do Rocha,2015,2,"Artes, Biologia I, Desenho Básico e Técnico, Educação Física I, Filosofia I, Física I, Geografia I, História I, Informática Básica, Língua Portuguesa e Literatura Brasileira I, Matemática I, Química I, Sociologia I, Biologia II, Construção Civil e Meio Ambiente, Desenho Arquitetônico, Desenho Auxiliado por Computador, Educação Física II, Filosofia II, Física II, Geografia II, História II, Língua Estrangeira Moderna -  Inglês I, Língua Portuguesa e Literatura Brasileira II, Matemática II, Materiais de Construção Civil, Química II, Sociologia II, Topografia, Biologia III, Educação Física III, Estabilidade e Concreto, Filosofia III, Física III, Geografia III, História III, Língua Estrangeira Moderna - Inglês II, Língua Portuguesa e Literatura Brasileira III, Matemática III, Mecânica dos Solos, Metodologia da Pesquisa Científica, Projeto Arquitetônico, Química III, Sociologia III, Tecnologia das Construções I, Desenho e Cálculo de Estruturas, Empreendedorismo, Filosofia IV, Higiene e Segurança do Trabalho, Instalações Elétricas, Instalações Hidrossanitárias, Língua Portuguesa e Literatura Brasileira IV, Matemática IV, Planejamento e Orçamento de Obras, Sociologia IV, Tecnologia das Construções II, Língua Espanhola",3409
Técnico em Edificações Integrado - Itaporanga,2015,2,"Artes, Biologia I, Desenho Básico e Técnico, Educação Física I, Filosofia I, Física I, Geografia I, História I, Informática Básica, Língua Portuguesa e Literatura Brasileira I, Matemática I, Química I, Sociologia I, Biologia II, Construção Civil e Meio Ambiente, Desenho Arquitetônico, Desenho Auxiliado por Computador, Educação Física II, Filosofia II, Física II, Geografia II, História II, Língua Estrangeira Moderna -  Inglês I, Língua Portuguesa e Literatura Brasileira II, Matemática II, Materiais de Construção Civil, Química II, Sociologia II, Topografia, Biologia III, Educação Física III, Estabilidade e Concreto, Filosofia III, Física III, Língua Estrangeira Moderna - Inglês II, Língua Portuguesa e Literatura Brasileira III, Matemática III, Mecânica dos Solos, Metodologia da Pesquisa Científica, Projeto Arquitetônico, Química III, Sociologia III, Tecnologia das Construções I, Desenho e Cálculo de Estruturas, Empreendedorismo, Filosofia IV, Higiene e Segurança do Trabalho, Instalações Elétricas, Instalações Hidrossanitárias, Língua Portuguesa e Literatura Brasileira IV, Matemática IV, Planejamento e Orçamento de Obras, Sociologia IV, Tecnologia das Construções II, Língua Espanhola",3409
Técnico em Automação Industrial Integrado - Itabaiana,2015,2,"Biologia I, Desenho Técnico Auxiliado por Computador - CAD, Educação Física I, Filosofia I, Física I, Geografia I, Higiene e Segurança do Trabalho, Informática Básica, Língua Portuguesa e Literatura Brasileira I, Matemática I, Química I, Sociologia I, Biologia II, Educação Física II, Eletricidade, Filosofia II, Física II, Geografia II, História I, Língua Estrangeira Moderna -  Inglês I, Língua Portuguesa e Literatura Brasileira II, Lógica e Programação, Matemática II, Materiais e Elementos Mecânicos, Metodologia do Trabalho Científico, Química II, Sistemas Digitais, Sociologia II, Artes, Biologia III, Comando Numérico Computadorizado, Educação Física III, Eletrônica, Filosofia III, Física III, História II, Instalações Elétricas de Baixa Tensão, Instrumentação Industrial, Língua Estrangeira Moderna - Inglês II, Língua Portuguesa e Literatura Brasileira III, Matemática III, Química III, Sociologia III, Acionamentos e Comandos Hidropneumáticos, Automação, Empreendedorismo, Filosofia IV, Máquinas e Comandos Elétricos, Microcontroladores, Redes Industriais, Sociologia IV, Língua Espanhola",3422
Técnico em Eletromecânica Integrado - Itabaiana,2015,2,"Biologia I, Educação Física I, Filosofia I, Física I, Geografia I, Higiene e Segurança do Trabalho, Informática Básica, Língua Portuguesa e Literatura Brasileira I, Matemática I, Química I, Sociologia I, Tecnologia dos Materiais, Biologia II, Desenho Técnico e CAD, Educação Física II, Eletricidade, Filosofia II, Física II, Geografia II, História I, Língua Estrangeira Moderna -  Inglês I, Língua Portuguesa e Literatura Brasileira II, Matemática II, Metodologia do Trabalho Científico, Química II, Sociologia II, Tecnologia Mecânica, Artes, Biologia III, Educação Física III, Elementos Mecânicos, Filosofia III, Física III, História II, Língua Estrangeira Moderna - Inglês II, Língua Portuguesa e Literatura Brasileira III, Matemática III, Produção Mecânica, Projetos e Instalações Elétricas, Química III, Sociologia III, Empreendedorismo, Filosofia IV, Instalações de Bombeamento, Manutenção Mecânica, Máquinas Elétricas, Motores de Combustão Interna, Pneumática e Hidráulica, Redes de Distribuição, Refrigeração, Sociologia IV, Língua Espanhola",3419
Técnico em Informática Integrado - Esperança,2015,2,"Algorítimos e Lógica de Programação, Artes, Biologia I, Educação Física I, Filosofia I, Física I, Fundamentos de Hardware, Fundamentos de Informática, Geografia I, História I, Língua Portuguesa e Literatura Brasileira I, Matemática I, Química I, Sociologia I, Banco de Dados, Biologia II, Desenvolvimento de Aplicações Web I, Educação Física II, Estrutura de Dados, Filosofia II, Física II, Geografia II, História II, Língua Estrangeira Moderna -  Inglês I, Língua Portuguesa e Literatura Brasileira II, Matemática II, Programação Orientada a Objetos, Química II, Redes de Computadores, Sociologia II, Análise e Projeto de Sistema, Biologia III, Desenvolvimento de Aplicações Web II, Educação Física III, Empreendedorismo, Filosofia III, Física III, Higiene e Segurança do Trabalho, Língua Estrangeira Moderna - Inglês II, Língua Portuguesa e Literatura Brasileira III, Matemática III, Metodologia da Pesquisa Científica, Programação para Dispositivos Móveis, Química III, Segurança, Sistemas Operacionais, Sociologia III, Testes de Software, Língua Espanhola",3373
Técnico em Informática Subsequente - Esperança,2015,2,"Algorítimos e Lógica de Programação, Fundamentos de Hardware, Fundamentos de Informática, Inglês Instrumental, Metodologia da Pesquisa Científica, Português Instrumental, Banco de Dados, Estrutura de Dados, Programação Orientada a Objetos, Redes de Computadores, Análise e Projeto de Sistema, Desenvolvimento de Aplicações Web I, Meio Ambiente, Programação para Dispositivos Móveis, Relações Humanas no Trabalho, Sistemas Operacionais, Desenvolvimento de Aplicações Web II, Empreendedorismo, Higiene e Segurança do Trabalho, Segurança, Testes de Software",1233
